1;ALFA ROMEO
2;Aston Martin Lagonda Ltd
3;Audi
4;BMW
5;Chevrolet
6;Dodge
7;Ferrari
8;Honda
9;Jaguar
10;Lamborghini
11;MAZDA
12;McLaren
13;Mercedes-Benz
14;NISSAN
15;Pagani Automobili S.p.A.
16;Porsche
17;FIAT
18;Mini
19;SCION
20;Subaru
21;Bentley
22;Buick
23;Ford
24;HYUNDAI MOTOR COMPANY
25;LEXUS
26;MASERATI
27;Roush
28;Volkswagen
29;Acura
30;Cadillac
31;INFINITI
32;KIA MOTORS CORPORATION
33;Mitsubishi Motors Corporation
34;Rolls-Royce Motor Cars Limited
35;TOYOTA
36;Volvo
37;Chrysler
38;Lincoln
39;GMC
40;RAM
41;CHEVROLET
42;Jeep
43;Land Rover
44;Peugeot
45;Citroen
